id,amount,transaction,day,tax,receipt,account,active,last_created,category_id,keyword_id,sub_cat_id,team_id,trans_type,user_id
3,50.00,Starlink,1,Yes,"",,t,,11,133,67,1,2,1
4,143.61,The Hartford Insurance,1,Yes,"",,t,,2,133,8,1,2,1
6,6.00,AWS - Database,8,Yes,"",,t,,4,133,14,34,2,1
7,13.38,Microsoft 365,7,Yes,"",,t,,4,133,44,34,2,1
8,9.99,Apple iCloud,6,Yes,"",,t,,4,133,44,34,2,1
10,16.04,Paddle.com,20,Yes,"",,t,,4,133,44,34,2,1
12,15.00,Chase Bank Fee,30,Yes,"",,t,,4,133,11,1,2,1
13,2.55,Google Suite,2,Yes,"",,t,,4,133,44,34,2,1
9,64.18,Adobe CC,21,Yes,"",,t,,4,133,44,2,2,1
1,72.94,Verizon Cellular,18,Yes,"",,t,,11,133,29,1,2,1
2,74.24,Verizon iPad,18,Yes,"",,t,,35,133,3,1,2,1
5,11.19,Heroku,8,Yes,"",,t,,4,133,14,34,2,1
11,9.95,PaymentTech,2,Yes,"",,t,,4,133,11,1,2,1
34,7.20,Google Business Suite,1,Yes,"",,t,,4,133,12,1,2,1
